"number","period","type_of_activity","deductions_of_subsoil_users_for_the_socio-economic_development","name_of_the_city_district","id","the_name_of_the_subsoil_user","deductions_of_subsoil_users_for_training"
"1472","29.12.2017","Осадочные породы (песчаник)","1200","Целиноградский","123","ТОО Казахнедрснаб","52,5"
"1465","12.12.2017","Глина и глинистая порода","1200","Шортандинский","124","ТОО Бозайғыр","4,2"
"1550","01.10.2018","Осадочные породы","1200","Астраханский","125","ТОО Techprom","50"
"1549","01.10.2018","Осадочные породы","2000","Астраханский","126","ТОО Inertstone","6"
"1516","07.06.2018","глины и глинистые породы","1200","Аршалынский","127","ТОО LK-KZ","17,4"
"1502","28.04.2018","глины и глинистые породы","1500","г.Кокшетау","128","ТОО ENKI","8,4"
"24","01.03.2005","Песок","72","Целиноградский","129","ТОО Группа Компаний Ак-Ай","7,2"
"1570","27.03.2019","Песок","1200","Коргалжынский","130","ТОО KAZ GEO CONSULT","200"
"901","12.10.2012","Строительный песок","200","Зерендинский","131","ТОО РегионСтрой","93"
"81","18.06.2002","Стройкамень","200","Бурабайский","132","ТОО Злат неруд","905"
"89","38700","Известняки","8000","Биржан Сал","133","ТОО ПО Кокше-Цемент","0"


